language_ID,filename,meansynratio,meanmorphratio,syn.sd,morph.sd,area,language_name,latitude,longitude,glottocode,region,macro_region,country_id,language_type,abbr,spread,migration,contact_languages,contact_languages_names,all_L1,natives,non_natives,ewave,corpus
82,HEB_039,0.942911455926554,-0.961346122873205,0.0234624585766698,0.0128256310990312,HEB,Hebridean English,58.2,-6.3,"",BI,BI,GB,L1t,HebE,4712,6033,0,"",17,13720,11604,no,FRED
82,HEB_040,0.94680849611603,-0.963983419203394,0.0260417332549324,0.0146099525653521,HEB,Hebridean English,58.2,-6.3,"",BI,BI,GB,L1t,HebE,4712,6033,0,"",17,13720,11604,no,FRED
82,HEB_041,0.947081387623497,-0.96492036310051,0.0247442227469183,0.014267327555552,HEB,Hebridean English,58.2,-6.3,"",BI,BI,GB,L1t,HebE,4712,6033,0,"",17,13720,11604,no,FRED
2,INV_001,0.941109323330099,-0.965075845579869,0.0214226425477493,0.0137735456209746,INV,Scottish English,56.9,-1.7,"",BI,BI,GB,L1t,ScE,77933,6033,0,"",17,5002242,5191030,yes,FRED
4,IOM_001,0.943843655285897,-0.967614442891301,0.0253352565811725,0.0177475636291094,IOM,Manx English,54.16,-4.57,manx1244,BI,BI,IM,L1c,ManxE,572,2107,0,"",2,7388,0,yes,FRED
4,IOM_002,0.942878997852549,-0.962134938807799,0.0237330626323489,0.0132383754523671,IOM,Manx English,54.16,-4.57,manx1244,BI,BI,IM,L1c,ManxE,572,2107,0,"",2,7388,0,yes,FRED
2,KCD_001,0.945143718974767,-0.966612464983643,0.0244432276069046,0.0167287601367282,KCD,Scottish English,56.9,-1.7,"",BI,BI,GB,L1t,ScE,77933,6033,0,"",17,5002242,5191030,yes,FRED
9,KEN_001,0.946655600385032,-0.964863935691679,0.0266706834026401,0.0156079775985578,KEN,English dialects in the Southeast of England,51.1,0.6,"",BI,BI,GB,L1t,SE,19120,6033,0,"",17,1142549,152,yes,FRED
9,KEN_002,0.943488798175597,-0.963380527968952,0.0253511449059252,0.0142423650534049,KEN,English dialects in the Southeast of England,51.1,0.6,"",BI,BI,GB,L1t,SE,19120,6033,0,"",17,1142549,152,yes,FRED
9,KEN_003,0.942664923838535,-0.967531338254702,0.0234348489998509,0.0164490463434604,KEN,English dialects in the Southeast of England,51.1,0.6,"",BI,BI,GB,L1t,SE,19120,6033,0,"",17,1142549,152,yes,FRED
9,KEN_004,0.941036046513339,-0.963853524421703,0.0220072994790124,0.0147466886397023,KEN,English dialects in the Southeast of England,51.1,0.6,"",BI,BI,GB,L1t,SE,19120,6033,0,"",17,1142549,152,yes,FRED
9,KEN_005,0.945005258235909,-0.964309660387582,0.0252866643618849,0.014894523768613,KEN,English dialects in the Southeast of England,51.1,0.6,"",BI,BI,GB,L1t,SE,19120,6033,0,"",17,1142549,152,yes,FRED
9,KEN_006,0.944677248244769,-0.9659328014512,0.0229244540310261,0.015474139108129,KEN,English dialects in the Southeast of England,51.1,0.6,"",BI,BI,GB,L1t,SE,19120,6033,0,"",17,1142549,152,yes,FRED
9,KEN_007,0.945151531817325,-0.964699866675968,0.0235929967815348,0.0146067306875625,KEN,English dialects in the Southeast of England,51.1,0.6,"",BI,BI,GB,L1t,SE,19120,6033,0,"",17,1142549,152,yes,FRED
9,KEN_008,0.94208044578575,-0.965444532941238,0.0244731509636279,0.0156360467566161,KEN,English dialects in the Southeast of England,51.1,0.6,"",BI,BI,GB,L1t,SE,19120,6033,0,"",17,1142549,152,yes,FRED
